hostname	config	avg_tokens_per_second	stddev_tokens_per_second	raw_timings
switchblade	cpu (-t 1)	3.802	0.004	[["0.8400", "263.2900", "263.2900"], ["0.8500", "263.0000", "263.0000"], ["0.8500", "263.1000", "263.1000"], ["0.8500", "263.1000", "263.1000"], ["0.8500", "262.3800", "262.3800"]]
switchblade	cpu (-t 2)	7.506	0.0185	[["0.8600", "133.6100", "133.6100"], ["0.8400", "132.7400", "132.7400"], ["0.8500", "132.9000", "132.9000"], ["0.8500", "133.1000", "133.1000"], ["0.8400", "133.5600", "133.5600"]]
switchblade	cpu (-t 3)	10.398	0.0194	[["0.8500", "96.0200", "96.0200"], ["0.8600", "96.4700", "96.4700"], ["0.8500", "96.3500", "96.3500"], ["0.8500", "95.9800", "95.9800"], ["0.8600", "96.0800", "96.0800"]]
switchblade	cpu (-t 4)	12.65	0.0141	[["0.8600", "79.0400", "79.0400"], ["0.8500", "78.9800", "78.9800"], ["0.8600", "79.1800", "79.1800"], ["0.8600", "79.1400", "79.1400"], ["0.8500", "78.9400", "78.9400"]]
switchblade	cpu (-t 5)	9.412	0.0075	[["0.8700", "106.3900", "106.3900"], ["0.8500", "106.3100", "106.3100"], ["0.8500", "106.1300", "106.1300"], ["0.8400", "106.2600", "106.2600"], ["0.8400", "106.1500", "106.1500"]]
switchblade	cpu (-t 6)	10.792	0.0757	[["0.8600", "93.4600", "93.4600"], ["0.8700", "91.6300", "91.6300"], ["0.8500", "93.2400", "93.2400"], ["0.8500", "92.7800", "92.7800"], ["0.8600", "92.2800", "92.2800"]]
switchblade	cpu (-t 7)	11.944	0.135	[["0.8600", "82.6100", "82.6100"], ["0.8900", "82.7100", "82.7100"], ["0.8900", "84.1100", "84.1100"], ["0.9000", "85.0000", "85.0000"], ["0.8700", "84.2300", "84.2300"]]
switchblade	cpu (-t 8)	12.75	0.0672	[["0.8600", "78.1600", "78.1600"], ["0.8800", "78.5700", "78.5700"], ["0.8700", "78.8400", "78.8400"], ["0.8700", "78.8100", "78.8100"], ["0.8600", "77.7900", "77.7900"]]
switchblade	cpu (-t 9)	0.442	0.0133	[["0.8900", "2272.5700", "2272.5700"], ["0.9000", "2255.1300", "2255.1300"], ["0.8800", "2187.3800", "2187.3800"], ["0.8900", "2407.9100", "2407.9100"], ["0.8800", "2198.9300", "2198.9300"]]
switchblade	cpu (openblas, -t 1)	3.844	0.008	[["0.8500", "260.7700", "260.7700"], ["0.8500", "259.9900", "259.9900"], ["0.8400", "260.0200", "260.0200"], ["0.8400", "259.6300", "259.6300"], ["0.8500", "260.2600", "260.2600"]]
switchblade	cpu (openblas, -t 2)	7.58	0.0126	[["0.8400", "132.2100", "132.2100"], ["0.8400", "131.5800", "131.5800"], ["0.8400", "131.8800", "131.8800"], ["0.8400", "131.8900", "131.8900"], ["0.8400", "131.9300", "131.9300"]]
switchblade	cpu (openblas, -t 3)	10.452	0.0133	[["0.8400", "95.8700", "95.8700"], ["0.8300", "95.6800", "95.6800"], ["0.8400", "95.5400", "95.5400"], ["0.8400", "95.7200", "95.7200"], ["0.8400", "95.5600", "95.5600"]]
switchblade	cpu (openblas, -t 4)	12.654	0.1527	[["0.8500", "80.9700", "80.9700"], ["0.8400", "78.4600", "78.4600"], ["0.8400", "78.6600", "78.6600"], ["0.8500", "78.5200", "78.5200"], ["0.8600", "78.5900", "78.5900"]]
switchblade	cpu (openblas, -t 5)	9.408	0.0435	[["0.8400", "106.7400", "106.7400"], ["0.8400", "106.4900", "106.4900"], ["0.8400", "105.7400", "105.7400"], ["0.8500", "106.8900", "106.8900"], ["0.8600", "105.7400", "105.7400"]]
switchblade	cpu (openblas, -t 6)	10.846	0.0504	[["0.8500", "91.6500", "91.6500"], ["0.8400", "92.4200", "92.4200"], ["0.8600", "92.7400", "92.7400"], ["0.8500", "92.4100", "92.4100"], ["0.8600", "91.7200", "91.7200"]]
switchblade	cpu (openblas, -t 7)	11.944	0.1059	[["0.8800", "84.5500", "84.5500"], ["0.8700", "84.2200", "84.2200"], ["0.8500", "82.6200", "82.6200"], ["0.8700", "84.1600", "84.1600"], ["0.8900", "83.0600", "83.0600"]]
switchblade	cpu (openblas, -t 8)	12.744	0.0791	[["0.8600", "78.8800", "78.8800"], ["0.8700", "78.0500", "78.0500"], ["0.8600", "78.1100", "78.1100"], ["0.8600", "79.2700", "79.2700"], ["0.8700", "78.0600", "78.0600"]]
switchblade	cpu (openblas, -t 9)	0.434	0.015	[["0.8800", "2301.4700", "2301.4700"], ["0.8800", "2389.2500", "2389.2500"], ["0.8800", "2356.2800", "2356.2800"], ["0.8600", "2283.6000", "2283.6000"], ["0.8800", "2167.5900", "2167.5900"]]
reticent-iris	cpu (-t 1)	2.78	0.0502	[["0.8200", "357.1700", "357.1700"], ["0.8300", "356.4400", "356.4400"], ["0.8300", "357.4000", "357.4000"], ["0.8300", "372.7100", "372.7100"], ["0.8300", "355.9100", "355.9100"]]
reticent-iris	cpu (-t 2)	5.246	0.1623	[["0.8200", "187.4100", "187.4100"], ["0.8200", "200.4900", "200.4900"], ["0.8200", "195.4700", "195.4700"], ["0.8100", "185.6300", "185.6300"], ["0.8200", "185.5600", "185.5600"]]
reticent-iris	cpu (-t 3)	7.864	0.0326	[["0.8200", "126.4000", "126.4000"], ["0.8200", "127.8100", "127.8100"], ["0.8100", "126.6900", "126.6900"], ["0.8200", "127.5400", "127.5400"], ["0.8200", "127.1500", "127.1500"]]
reticent-iris	cpu (-t 4)	10.07	0.0775	[["0.8200", "99.1700", "99.1700"], ["0.8300", "100.7900", "100.7900"], ["0.8200", "98.6000", "98.6000"], ["0.8200", "98.9600", "98.9600"], ["0.8200", "99.0000", "99.0000"]]
reticent-iris	cpu (-t 5)	7.266	0.015	[["0.8200", "137.8600", "137.8600"], ["0.8300", "137.5500", "137.5500"], ["0.8200", "137.1500", "137.1500"], ["0.8200", "137.5000", "137.5000"], ["0.8300", "138.0000", "138.0000"]]
reticent-iris	cpu (-t 6)	8.536	0.0102	[["0.8200", "117.0000", "117.0000"], ["0.8200", "117.1000", "117.1000"], ["0.8200", "117.1200", "117.1200"], ["0.8200", "117.3200", "117.3200"], ["0.8200", "117.2400", "117.2400"]]
reticent-iris	cpu (-t 7)	9.768	0.0147	[["0.8200", "102.7200", "102.7200"], ["0.8200", "102.3300", "102.3300"], ["0.8200", "102.3800", "102.3800"], ["0.8200", "102.2700", "102.2700"], ["0.8100", "102.2200", "102.2200"]]
reticent-iris	cpu (-t 8)	10.746	0.048	[["0.8200", "92.4600", "92.4600"], ["0.8200", "93.1000", "93.1000"], ["0.8200", "93.1000", "93.1000"], ["0.8200", "92.9700", "92.9700"], ["0.8200", "93.7500", "93.7500"]]
reticent-iris	cpu (-t 9)	0.208	0.004	[["0.8200", "4788.9400", "4788.9400"], ["0.8200", "4668.6200", "4668.6200"], ["0.8200", "4795.6100", "4795.6100"], ["0.8100", "4902.9400", "4902.9400"], ["0.8200", "4783.2800", "4783.2800"]]
reticent-iris	cpu (openblas, -t 1)	2.786	0.0136	[["0.8200", "357.3900", "357.3900"], ["0.8300", "356.9300", "356.9300"], ["0.8200", "358.5300", "358.5300"], ["0.8200", "360.3800", "360.3800"], ["0.8200", "361.2400", "361.2400"]]
reticent-iris	cpu (openblas, -t 2)	5.364	0.0781	[["0.8200", "185.0500", "185.0500"], ["0.8200", "184.8200", "184.8200"], ["0.8100", "184.6100", "184.6100"], ["0.8200", "185.9500", "185.9500"], ["0.8200", "192.0500", "192.0500"]]
reticent-iris	cpu (openblas, -t 3)	7.76	0.1717	[["0.8200", "127.9100", "127.9100"], ["0.8200", "126.7500", "126.7500"], ["0.8200", "134.8500", "134.8500"], ["0.8100", "127.7300", "127.7300"], ["0.8200", "127.5300", "127.5300"]]
reticent-iris	cpu (openblas, -t 4)	9.992	0.1777	[["0.8200", "99.4100", "99.4100"], ["0.8200", "103.6100", "103.6100"], ["0.8200", "99.9300", "99.9300"], ["0.8200", "98.4400", "98.4400"], ["0.8200", "99.2400", "99.2400"]]
reticent-iris	cpu (openblas, -t 5)	7.274	0.012	[["0.8200", "137.8400", "137.8400"], ["0.8300", "137.2800", "137.2800"], ["0.8300", "137.3200", "137.3200"], ["0.8200", "137.3100", "137.3100"], ["0.8200", "137.2800", "137.2800"]]
reticent-iris	cpu (openblas, -t 6)	8.52	0.0063	[["0.8200", "117.3500", "117.3500"], ["0.8200", "117.1900", "117.1900"], ["0.8200", "117.3600", "117.3600"], ["0.8200", "117.5100", "117.5100"], ["0.8200", "117.4100", "117.4100"]]
reticent-iris	cpu (openblas, -t 7)	9.766	0.0136	[["0.8200", "102.5700", "102.5700"], ["0.8200", "102.2800", "102.2800"], ["0.8200", "102.3900", "102.3900"], ["0.8200", "102.2700", "102.2700"], ["0.8200", "102.5200", "102.5200"]]
reticent-iris	cpu (openblas, -t 8)	10.69	0.046	[["0.8200", "93.2100", "93.2100"], ["0.8200", "93.3500", "93.3500"], ["0.8200", "93.5000", "93.5000"], ["0.8200", "93.3500", "93.3500"], ["0.8200", "94.3400", "94.3400"]]
reticent-iris	cpu (openblas, -t 9)	0.212	0.0075	[["0.8300", "4906.6100", "4906.6100"], ["0.8200", "4802.9500", "4802.9500"], ["0.8200", "4603.9500", "4603.9500"], ["0.8200", "4692.6100", "4692.6100"], ["0.8200", "4590.2800", "4590.2800"]]
wall	cpu (-t 1)	5.63	0.0179	[["0.6400", "176.9900", "176.9900"], ["0.6400", "177.8100", "177.8100"], ["0.6300", "177.1900", "177.1900"], ["0.6300", "178.6200", "178.6200"], ["0.6200", "177.4600", "177.4600"]]
